id,name,storage_location,temperature,duration,notes,good_pairs,bad_pairs,cooking_methods,verified,pairing_verified
1,가다랑어포,실온,밀폐 건냉소,개봉 전 6개월~1년 / 개봉 후 3개월,건조 가쓰오부시. 밀폐 필수. 습기 주의,다시마 / 무 / 간장,-,우리기 / 국물내기 / 토핑,✓,✓
2,가래떡,냉동,-18℃ 이하,2~3개월,식약처 기준. 실온 소비기한 3일 / 냉장 시 전분 노화로 딱딱해짐. 소분·밀봉 필수,꿀 / 조청 / 김 / 고추장,-,떡국 끓이기 / 구이 / 볶기,✓,✓
3,가리비,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 2~3개월,구입 당일 섭취 권장. 관자(내장 제거)는 진공 포장 후 냉동 3~6개월,버터 / 마늘 / 모짜렐라치즈 / 레몬,-,찜 / 버터구이 / 오븐구이,✓,✓
4,가자미,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 최대 6개월,흰살 생선. 손질 후 한 마리씩 랩에 밀봉하여 냉동,무 / 대파 / 간장 / 청양고추,-,조림 / 구이 / 튀김,✓,✓
5,가지,냉장,7~10℃ (저온 민감),5~7일,농진청: 저온장해 주의(10℃ 이하 과다 시). 신문지에 싸서 냉장고 야채칸,소고기 / 양파 / 간장 / 대파,-,볶음 / 구이 / 찜,✓,✓
6,갈아만든배,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 3~5일 / 냉동 2~3개월,고기 양념용. 빠른 사용,고기 양념 / 김치 양념 / 불고기 재움용,-,음용 / 양념 재료,✓,✓
7,갈치,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 최대 6개월,흰살 생선. 얇고 기름기 적어 장기 냉동 가능. 손질 후 소분 냉동 권장,무 / 호박 / 생강 / 소금,-,구이 / 조림 / 찌개,✓,✓
8,감,냉장/냉동,냉장 0~5℃ / 냉동 -18℃,단감 냉장 2~3주 / 홍시 냉장 1주 / 냉동 6개월,농진청: 저온 저장 유리. 홍시는 냉동 시 상태 장기 유지,호두 / 수정과 / 견과류,-,생식 / 수정과 / 쌈,✓,✓
9,감귤주스,냉장,0~4℃,개봉 전 유통기한 / 개봉 후 냉장 7~10일,개봉 후 밀봉 냉장,탄산수 / 요거트 / 얼음,-,음용 / 드레싱 베이스,✓,✓
10,감자,실온(서늘한 곳),4~8℃ 어두운 곳,2~4개월,농진청: 빛 차단 필수. 싹 나면 제거 필수(솔라닌). 양파와 분리,버터 / 치즈 / 토마토 / 양파,-,찜 / 구이 / 볶음,✓,✓
11,감자전분,실온,밀폐 건냉소,밀폐 실온 1~2년,밀폐 보관. 습기 주의,튀김옷 / 소스 / 팬케이크 반죽,-,튀김옷 입히기 / 전분물 풀기 / 반죽,✓,✓
12,갓,냉장,0~4℃,5~7일,주로 김치용. 밀봉 냉장,멸치액젓 / 마늘 / 삼겹살,-,김치 담기 / 무침 / 절이기,✓,✓
13,강력분,실온,밀폐 건냉소,개봉 전 1년 / 개봉 후 6개월,밀폐 필수. 제빵용,이스트 / 버터 / 우유,-,반죽 / 빵 굽기 / 피자 도우,✓,✓
14,건고추,실온/냉장,밀폐 건냉소 / 냉장,실온 6개월~1년 / 냉장 1~2년,습기 주의. 밀폐 보관,멸치 / 마늘 / 대파,-,우리기 / 갈아서 가루내기 / 양념장,✓,✓
15,건새우,실온/냉장,밀폐 건냉소 / 냉장 0~4℃,실온 1~2개월 / 냉장 3~6개월,건조품이지만 염분·지방으로 산패 우려. 밀폐용기 보관. 장기 보관 시 냉장·냉동,꽈리고추 / 간장 / 마늘 / 견과류,-,볶음 / 국물내기 / 양념장,✓,✓
16,검은깨,실온/냉장,밀폐 건냉소 / 냉장,실온 3~6개월 / 냉장 1년,밀폐 필수,검은콩 / 아몬드우유 / 떡,-,갈기 / 볶음 / 토핑,✓,✓
17,검은콩,실온,밀폐 건냉소,밀폐 실온 1~2년,서리태. 밀폐 보관. 습기·벌레 주의,잡곡밥 / 검은깨 / 견과류,-,밥 짓기 / 콩자반 / 콩국수,✓,✓
18,겨자,냉장,0~4℃,개봉 전 유통기한 / 개봉 후 냉장 6개월~1년,개봉 후 냉장,냉면 / 소고기 / 연어,-,소스 만들기 / 무침 / 드레싱,✓,✓
19,계란,냉장,0~5℃ 이하,산란일로부터 4~5주 (식약처 기준 45일),식약처: 냉장 보관 시 산란일부터 45일. 씻지 않고 뾰족한 쪽이 아래로. 냉장고 문 쪽 X,시금치 / 토마토 / 치즈,-,삶기 / 부치기 / 찜,✓,✓
20,고구마,실온,13~15℃ 어두운 곳,1~2개월,농진청: 냉장 X(저온장해). 13~15℃ 유지가 단맛 보존,김치 / 동치미 / 우유,-,찜 / 구이 / 튀김,✓,✓
21,고등어,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 (히스타민 위험으로 7일 이내 필수) / 냉동 2~3개월,등푸른 생선. 상온 방치 시 히스타민 생성(가열로도 분해 안 됨). 손질 후 즉시 냉동 권장. 재냉동 금지,무 / 묵은지 / 우거지,-,구이 / 조림 / 찌개,✓,✓
22,고사리,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,데친 것 냉장 3~5일 / 냉동 6개월 / 건조 1년,반드시 데쳐서 사용(티아미나아제 제거). 데친 후 보관,마늘 / 대파 / 조기,문어,나물 무침 / 조림 / 비빔밥,✓,✓
23,고수,냉장,0~4℃,1주,물 컵에 담가 냉장. 씻지 않고 보관,쌀국수 / 라임 / 고추,-,고명 / 생식 / 샐러드,✓,✓
24,고추,냉장,0~5℃,1~2주,비닐봉지 밀봉 냉장. 냉동도 가능,된장 / 마늘 / 멸치,-,생식 / 볶음 / 장아찌,✓,✓
25,고추기름,실온/냉장,실온 건냉소 / 개봉 후 냉장 권장,개봉 후 3~6개월,기름 산패 주의. 직사광선 피하기,중화요리 / 매운 면요리 / 만두,-,볶음 / 무침 / 양념,✓,✓
26,고추냉이,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,튜브 개봉 후 냉장 6개월 / 생은 냉동,튜브 제품이 일반적. 개봉 후 냉장,회 / 초밥 / 메밀국수,-,소스 / 곁들임,✓,✓
27,고추장,냉장,0~10℃,개봉 전 유통기한(1~2년) / 개봉 후 냉장 6개월~1년,발효식품. 개봉 후 냉장 필수. 표면 평평하게,참기름 / 식초 / 마늘 / 돼지고기,-,양념장 / 찌개 / 무침,✓,✓
28,고춧가루,실온/냉장/냉동,밀폐 건냉소 / 냉장·냉동,실온 3~6개월 / 냉장 1년 / 냉동 2~3년,햇빛·습기 주의. 장기 보관 시 냉동 권장,마늘 / 젓갈 / 고추장,-,양념 / 김치 담기 / 무침,✓,✓
29,골뱅이,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1일 / 냉동 2~3개월. 통조림은 개봉 전 실온 1~2년,통조림 제품이 일반적. 생것은 삶아서 소분 냉동,소면 / 오이 / 대파,-,무침 / 국물요리 / 조림,✓,✓
30,곶감,냉동(권장) / 냉장,-18℃ 이하 / 냉장 0~4℃,냉동 3~6개월 / 냉장 1~3주 / 실온 3~7일,실온은 곰팡이 위험. 반건시는 수분 많아 냉동 필수. 밀폐용기·지퍼백,호두 / 수정과 / 견과류,-,생식 / 수정과 / 쌈,✓,✓
31,국간장,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 전 2~3년 / 개봉 후 냉장 1~2년,국·찌개용. 염도 높음. 개봉 후 냉장 권장,멸치 / 다시마 / 나물,-,국물 간하기 / 나물 무침,✓,✓
32,국거리소고기,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 3~6개월,국·찌개용. 소분하여 냉동 권장,무 / 배추 / 대파,-,국 / 탕 / 찌개,✓,✓
33,굴,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 2~3일 / 냉동 최대 6개월,생굴은 봉지 그대로 또는 소금물과 밀폐. 세척 후 물과 함께 냉동. 재냉동 금지. 노로바이러스 주의,레몬 / 무 / 초고추장,-,생식 / 전 / 국,✓,✓
34,굴비,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 2주 / 냉동 3~6개월,염장 건조된 조기. 염분으로 저장성 있음. 랩에 감싸 냉동 보관,쌀밥 / 고추장 / 녹차,-,구이 / 찜,✓,✓
35,굴소스,냉장,0~10℃,개봉 전 유통기한 / 개봉 후 냉장 6개월,개봉 후 반드시 냉장,가지 / 숙주 / 해산물,-,볶음 / 소스 / 양념,✓,✓
36,귀리,실온,밀폐 건냉소,밀폐 실온 6개월~1년,밀폐 보관. 습기 주의,우유 / 꿀 / 견과류,-,죽 / 시리얼 / 베이킹,✓,✓
37,귤,실온/냉장,실온 10~15℃ / 냉장 5~10℃,실온 1~2주 / 냉장 2~4주,서늘한 곳 보관. 실온에서 당도 유지. 냉장 시 건조 주의,꿀 / 생강 / 유자,-,생식 / 차 / 청,✓,✓
38,그릭요거트,냉장,0~4℃,개봉 전 유통기한 / 개봉 후 5~7일,걸러진 요거트로 저장성 약간 좋음. 밀봉 보관,꿀 / 견과류 / 과일,-,생식 / 드레싱 / 디저트,✓,✓
